CODIGO;DESCRIPCION
010150;CUENCA
010151;BAÑOS
010152;CUMBE
010153;CHAUCHA
010154;CHECA
010155;CHIQUINTAD
010156;LLACAO
010157;MOLLETURO
010158;NULTI
010159;OCTAVIO CORDERO PALACIOS
010160;PACCHA
010161;QUINGEO
010162;RICAURTE
010163;SAN JOAQUÍN
010164;SANTA ANA
010165;SAYAUSÍ
010166;SIDCAY
010167;SININCAY
010168;TARQUI
010169;TURI
010170;VALLE
010171;VICTORIA DEL PORTETE
010250;GIRÓN
010251;LA ASUNCIÓN
010252;SAN GERARDO
010350;GUALACEO
010352;DANIEL CÓRDOVA TORAL
010353;JADÁN
010354;MARIANO MORENO
010356;REMIGIO CRESPO TORAL
010357;SAN JUAN
010358;ZHIDMAD
010359;LUIS CORDERO VEGA
010360;SIMÓN BOLÍVAR
010450;NABÓN
010451;COCHAPATA
010452;EL PROGRESO
010453;LAS NIEVES
010550;PAUTE
010552;BULÁN
010553;CHICÁN
010554;EL CABO
010556;GUARAINAG
010559;SAN CRISTÓBAL
010561;TOMEBAMBA
010562;DUG DUG
010650;PUCARÁ
010652;SAN RAFAEL DE SHARUG
010750;SAN FERNANDO
010751;CHUMBLÍN
010850;SANTA ISABEL
010851;ABDÓN CALDERÓN
010852;EL CARMEN DE PIJILÍ
010853;SHAGLLI
010854;SAN SALVADOR DE CAÑARIBAMBA
010950;SÍGSIG
010951;CUCHIL
010952;JIMA
010953;GÜEL
010954;LUDO
010955;SAN BARTOLOMÉ
010956;SAN JOSÉ DE RARANGA
011050;SAN FELIPE DE OÑA
011051;SUSUDEL
011150;CHORDELEG
011151;PRINCIPAL
011152;LA UNIÓN
011153;LUIS GALARZA ORELLANA
011154;SAN MARTÍN DE PUZHIO
011250;EL PAN
011253;SAN VICENTE
011350;SEVILLA DE ORO
011351;AMALUZA
011352;PALMAS
011450;GUACHAPALA
011550;CAMILO PONCE ENRÍQUEZ
020150;GUARANDA
020151;FACUNDO VELA
020153;JULIO E. MORENO
020155;SALINAS
020156;SAN LORENZO
020157;SAN SIMÓN
020158;SANTA FE
020159;SIMIÁTUG
020160;SAN LUIS DE PAMBIL
020250;CHILLANES
020251;SAN JOSÉ DEL TAMBO
020350;SAN JOSÉ DE CHIMBO
020351;ASUNCIÓN
020353;LA MAGDALENA
020354;SAN SEBASTIÁN
020355;TELIMBELA
020450;ECHEANDÍA
020550;SAN MIGUEL
020551;BALSAPAMBA
020552;BILOVÁN
020553;RÉGULO DE MORA
020554;SAN PABLO
020555;SANTIAGO
020556;SAN VICENTE
020650;CALUMA
020750;LAS NAVES
030150;AZOGUES
030151;COJITAMBO
030153;GUAPÁN
030154;JAVIER LOYOLA
030155;LUIS CORDERO
030156;PINDILIG
030157;RIVERA
030158;SAN MIGUEL
030160;TADAY
030250;BIBLIÁN
030251;NAZÓN
030252;SAN FRANCISCO DE SAGEO
030253;TURUPAMBA
030254;JERUSALÉN
030350;CAÑAR
030351;CHONTAMARCA
030352;CHOROCOPTE
030353;GENERAL MORALES
030354;GUALLETURO
030355;HONORATO VÁSQUEZ
030356;INGAPIRCA
030357;JUNCAL
030358;SAN ANTONIO
030361;ZHUD
030362;VENTURA
030363;DUCUR
030450;LA TRONCAL
030451;MANUEL J. CALLE
030452;PANCHO NEGRO
030550;EL TAMBO
030650;DÉLEG
030651;SOLANO
030750;SUSCAL
040150;TULCÁN
040151;EL CARMELO
040153;JULIO ANDRADE
040154;MALDONADO
040155;PIOTER
040156;TOBAR DONOSO
040157;TUFIÑO
040158;URBINA
040159;EL CHICAL
040161;SANTA MARTHA DE CUBA
040250;BOLÍVAR
040251;GARCÍA MORENO
040252;LOS ANDES
040253;MONTE OLIVO
040254;SAN VICENTE DE PUSIR
040255;SAN RAFAEL
040350;EL ÁNGEL
040351;EL GOALTAL
040352;LA LIBERTAD
040353;SAN ISIDRO
040450;MIRA
040451;CONCEPCIÓN
040452;JIJÓN Y CAAMAÑO
040453;JUAN MONTALVO
040550;SAN GABRIEL
040551;CRISTÓBAL COLÓN
040552;CHITÁN DE NAVARRETE
040553;FERNÁNDEZ SALVADOR
040554;LA PAZ
040555;PIARTAL
040650;HUACA
040651;MARISCAL SUCRE
050150;LATACUNGA
050151;ALÁQUEZ
050152;BELISARIO QUEVEDO
050153;GUAYTACAMA
050154;JOSEGUANGO BAJO
050156;MULALÓ
050157;ONCE DE NOVIEMBRE
050158;POALÓ
050159;SAN JUAN DE PASTOCALLE
050161;TANICUCHÍ
050162;TOACASO
050250;LA MANÁ
050251;GUASAGANDA
050252;PUCAYACU
050350;EL CORAZÓN
050351;MORASPUNGO
050352;PINLLOPATA
050353;RAMÓN CAMPAÑA
050450;PUJILÍ
050451;ANGAMARCA
050453;GUANGAJE
050455;LA VICTORIA
050456;PILALÓ
050457;TINGO
050458;ZUMBAHUA
050550;SAN MIGUEL
050551;ANTONIO JOSÉ HOLGUÍN
050552;CUSUBAMBA
050553;MULALILLO
050554;MULLIQUINDIL
050555;PANSALEO
050650;SAQUISILÍ
050651;CANCHAGUA
050652;CHANTILÍN
050653;COCHAPAMBA
050750;SIGCHOS
050751;CHUGCHILLÁN
050752;ISINLIVÍ
050753;LAS PAMPAS
050754;PALO QUEMADO
060150;RIOBAMBA
060151;CACHA
060152;CALPI
060153;CUBIJÍES
060154;FLORES
060155;LICÁN
060156;LICTO
060157;PUNGALÁ
060158;PUNÍN
060159;QUIMIAG
060160;SAN JUAN
060161;SAN LUIS
060250;ALAUSÍ
060251;ACHUPALLAS
060253;GUASUNTOS
060254;HUIGRA
060255;MULTITUD
060256;PISTISHI
060257;PUMALLACTA
060258;SEVILLA
060259;SIBAMBE
060260;TIXÁN
060350;VILLA LA UNIÓN
060351;CAÑI
060352;COLUMBE
060353;JUAN DE VELASCO
060354;SANTIAGO DE QUITO
060450;CHAMBO
060550;CHUNCHI
060551;CAPZOL
060552;COMPUD
060553;GONZOL
060554;LLAGOS
060650;GUAMOTE
060651;CEBADAS
060652;PALMIRA
060750;GUANO
060751;GUANANDO
060752;ILAPO
060753;LA PROVIDENCIA
060754;SAN ANDRÉS
060755;SAN GERARDO
060756;SAN ISIDRO DE PATULÚ
060757;SAN JOSÉ DEL CHAZO
060758;SANTA FÉ DE GALÁN
060759;VALPARAÍSO
060850;PALLATANGA
060950;PENIPE
060951;EL ALTAR
060952;MATUS
060953;PUELA
060954;SAN ANTONIO DE BAYUSHIG
060955;LA CANDELARIA
060956;BILBAO
061050;CUMANDÁ
070150;MACHALA
070152;EL RETIRO
070250;ARENILLAS
070251;CHACRAS
070254;PALMALES
070255;CARCABÓN
070256;LA CUCA
070350;PACCHA
070351;AYAPAMBA
070352;CORDONCILLO
070353;MILAGRO
070354;SAN JOSÉ
070355;SAN JUAN DE CERRO AZUL
070450;BALSAS
070451;BELLAMARÍA
070550;CHILLA
070650;EL GUABO
070651;BARBONES
070652;LA IBERIA
070653;TENDALES
070654;RÍO BONITO
070750;HUAQUILLAS
070850;MARCABELÍ
070851;EL INGENIO
070950;PASAJE
070951;BUENAVISTA
070952;CASACAY
070953;LA PEAÑA
070954;PROGRESO
070955;UZHCURRUMI
070956;CAÑAQUEMADA
071050;PIÑAS
071051;CAPIRO
071052;LA BOCANA
071053;MOROMORO
071054;PIEDRAS
071055;SAN ROQUE
071056;SARACAY
071150;PORTOVELO
071151;CURTINCAPA
071152;MORALES
071153;SALATÍ
071250;SANTA ROSA
071251;BELLAVISTA
071252;JAMBELÍ
071253;LA AVANZADA
071254;SAN ANTONIO
071255;TORATA
071256;VICTORIA
071257;BELLAMARÍA
071350;ZARUMA
071351;ABAÑÍN
071352;ARCAPAMBA
071353;GUANAZÁN
071354;GUIZHAGUIÑA
071355;HUERTAS
071356;MALVAS
071357;MULUNCAY GRANDE
071358;SINSAO
071359;SALVIAS
071450;LA VICTORIA
071451;LA LIBERTAD
071452;EL PARAÍSO
071453;SAN ISIDRO
080150;ESMERALDAS
080152;CAMARONES
080153;CORONEL CARLOS CONCHA TORRES
080154;CHINCA
080159;MAJUA
080163;SAN MATEO
080165;TABIAZO
080166;TACHINA
080168;VUELTA LARGA
080250;VALDEZ
080251;ANCHAYACU
080252;ATAHUALPA
080253;BORBÓN
080254;LA TOLA
080255;LUIS VARGAS TORRES
080256;MALDONADO
080257;PAMPANAL DE BOLÍVAR
080258;SAN FRANCISCO DE ONZOLE
080259;SANTO DOMINGO DE ONZOLE
080260;SELVA ALEGRE
080261;TELEMBÍ
080262;COLÓN ELOY DEL MARÍA
080263;SAN JOSÉ DE CAYAPAS
080264;TIMBIRÉ
080265;SANTA LUCÍA DE LAS PEÑAS
080350;MUISNE
080351;BOLÍVAR
080352;DAULE
080353;GALERA
080354;QUINGUE
080355;SÁLIMA
080356;SAN FRANCISCO
080357;SAN GREGORIO
080358;SAN JOSÉ DE CHAMANGA
080450;ROSA ZÁRATE
080451;CUBE
080452;CHURA
080453;MALIMPIA
080454;VICHE
080455;LA UNIÓN
080550;SAN LORENZO
080551;ALTO TAMBO
080552;ANCÓN
080553;CALDERÓN
080554;CARONDELET
080555;5 DE JUNIO
080556;CONCEPCIÓN
080557;MATAJE
080558;SAN JAVIER DE CACHAVÍ
080559;SANTA RITA
080560;TAMBILLO
080561;TULULBÍ
080562;URBINA
080650;ATACAMES
080651;LA UNIÓN
080652;SÚA
080653;TONCHIGÜE
080654;TONSUPA
080750;RIOVERDE
080751;CHONTADURO
080752;CHUMUNDÉ
080753;LAGARTO
080754;MONTALVO
080755;ROCAFUERTE
090150;GUAYAQUIL
090152;JUAN GÓMEZ RENDÓN
090153;MORRO
090156;POSORJA
090157;PUNÁ
090158;TENGUEL
090250;ALFREDO BAQUERIZO MORENO (JUJAN)
090350;BALAO
090450;BALZAR
090550;COLIMES
090551;SAN JACINTO
090650;DAULE
090652;JUAN BAUTISTA AGUIRRE
090653;LAUREL
090654;LIMONAL
090656;LOS LOJAS
090750;ELOY ALFARO
090850;VELASCO IBARRA
090851;GUAYAS
090852;EL ROSARIO
090950;EL TRIUNFO
091050;MILAGRO
091051;CHOBO
091053;MARISCAL SUCRE
091054;ROBERTO ASTUDILLO
091150;NARANJAL
091151;JESÚS MARÍA
091152;SAN CARLOS
091153;SANTA ROSA DE FLANDES
091154;TAURA
091250;NARANJITO
091350;PALESTINA
091450;PEDRO CARBO
091451;VALLE DE LA VIRGEN
091452;SABANILLA
091650;SAMBORONDÓN
091651;TARIFA
091850;SANTA LUCÍA
091950;EL SALITRE
091951;GENERAL VERNAZA
091952;LA VICTORIA
091953;JUNQUILLAL
092050;SAN JACINTO DE YAGUACHI
092053;GENERAL PEDRO J. MONTERO
092055;YAGUACHI VIEJO
092056;VIRGEN DE FÁTIMA
092150;GENERAL VILLAMIL
092250;SIMÓN BOLÍVAR
092251;CORONEL LORENZO DE GARAYCOA
092350;CORONEL MARCELINO MARIDUEÑA
092450;LOMAS DE SARGENTILLO
092550;NARCISA DE JESÚS
092750;GENERAL ANTONIO ELIZALDE
092850;ISIDRO AYORA
100150;SAN MIGUEL DE IBARRA
100151;AMBUQUÍ
100152;ANGOCHAGUA
100153;CAROLINA
100154;LA ESPERANZA
100155;LITA
100156;SALINAS
100157;SAN ANTONIO
100250;ATUNTAQUI
100251;IMBAYA
100252;SAN FRANCISCO DE NATABUELA
100253;SAN JOSÉ DE CHALTURA
100254;SAN ROQUE
100350;COTACACHI
100351;APUELA
100352;GARCÍA MORENO
100353;IMANTAG
100354;PEÑAHERRERA
100355;PLAZA GUTIÉRREZ
100356;QUIROGA
100357;SEIS DE JULIO DE CUELLAJE
100358;VACAS GALINDO
100450;OTAVALO
100451;DR. MIGUEL EGAS CABEZAS
100452;EUGENIO ESPEJO
100453;GONZÁLEZ SUÁREZ
100454;PATAQUÍ
100455;SAN JOSÉ DE QUICHINCHE
100456;SAN JUAN DE ILUMÁN
100457;SAN PABLO
100458;SAN RAFAEL
100459;SELVA ALEGRE
100550;PIMAMPIRO
100551;CHUGÁ
100552;MARIANO ACOSTA
100553;SAN FRANCISCO DE SIGSIPAMBA
100650;URCUQUÍ
100651;CAHUASQUÍ
100652;LA MERCED DE BUENOS AIRES
100653;PABLO ARENAS
100654;SAN BLAS
100655;TUMBABIRO
110150;LOJA
110151;CHANTACO
110152;CHUQUIRIBAMBA
110153;EL CISNE
110154;GUALEL
110155;JIMBILLA
110156;MALACATOS
110157;SAN LUCAS
110158;SAN PEDRO DE VILCABAMBA
110159;SANTIAGO
110160;TAQUIL
110161;VILCABAMBA
110162;YANGANA
110163;QUINARA
110250;CARIAMANGA
110251;COLAISACA
110252;EL LUCERO
110253;UTUANA
110254;SANGUILLÍN
110350;CATAMAYO
110351;EL TAMBO
110352;GUAYQUICHUMA
110353;SAN PEDRO DE LA BENDITA
110354;ZAMBI
110450;CELICA
110451;CRUZPAMBA
110455;PÓZUL
110456;SABANILLA
110457;TENIENTE MAXIMILIANO RODRÍGUEZ LOAIZA
110550;CHAGUARPAMBA
110551;BUENAVISTA
110552;EL ROSARIO
110553;SANTA RUFINA
110554;AMARILLOS
110650;AMALUZA
110651;BELLAVISTA
110652;JIMBURA
110653;SANTA TERESITA
110654;27 DE ABRIL
110655;EL INGENIO
110656;EL AIRO
110750;GONZANAMÁ
110751;CHANGAIMINA
110753;NAMBACOLA
110754;PURUNUMA
110756;SACAPALCA
110850;MACARÁ
110851;LARAMA
110852;LA VICTORIA
110853;SABIANGO
110950;CATACOCHA
110951;CANGONAMÁ
110952;GUACHANAMÁ
110954;LAURO GUERRERO
110956;ORIANGA
110957;SAN ANTONIO
110958;CASANGA
110959;YAMANA
111050;ALAMOR
111051;CIANO
111052;EL ARENAL
111053;EL LIMO
111054;MERCADILLO
111055;VICENTINO
111150;SARAGURO
111151;EL PARAÍSO DE CELEN
111152;EL TABLÓN
111153;LLUZHAPA
111154;MANÚ
111155;SAN ANTONIO DE QUMBE
111156;SAN PABLO DE TENTA
111157;SAN SEBASTIÁN DE YÚLUC
111158;SELVA ALEGRE
111159;URDANETA
111160;SUMAYPAMBA
111250;SOZORANGA
111251;NUEVA FÁTIMA
111252;TACAMOROS
111350;ZAPOTILLO
111351;MANGAHURCO
111352;GARZAREAL
111353;LIMONES
111354;PALETILLAS
111355;BOLASPAMBA
111356;CAZADEROS
111450;PINDAL
111451;CHAQUINAL
111452;12 DE DICIEMBRE
111453;MILAGROS
111550;QUILANGA
111551;FUNDOCHAMBA
111552;SAN ANTONIO DE LAS ARADAS
111650;OLMEDO
111651;LA TINGUE
120150;BABAHOYO
120152;CARACOL
120153;FEBRES CORDERO
120154;PIMOCHA
120155;LA UNIÓN
120250;BABA
120251;GUARE
120252;ISLA DE BEJUCAL
120350;MONTALVO
120351;LA ESMERALDA
120450;PUEBLOVIEJO
120451;PUERTO PECHICHE
120452;SAN JUAN
120550;QUEVEDO
120553;SAN CARLOS
120555;LA ESPERANZA
120650;CATARAMA
120651;RICAURTE
120750;VENTANAS
120752;ZAPOTAL
120753;CHACARITA
120754;LOS ÁNGELES
120850;VINCES
120851;ANTONIO SOTOMAYOR
120950;PALENQUE
121050;SAN JACINTO DE BUENA FE
121051;PATRICIA PILAR
121150;VALENCIA
121250;MOCACHE
121350;QUINSALOMA
130150;PORTOVIEJO
130151;ABDÓN CALDERÓN
130152;ALHAJUELA
130153;CRUCITA
130154;PUEBLO NUEVO
130155;RIOCHICO
130156;SAN PLÁCIDO
130157;CHIRIJOS
130250;CALCETA
130251;MEMBRILLO
130252;QUIROGA
130350;CHONE
130351;BOYACÁ
130352;CANUTO
130353;CONVENTO
130354;CHIBUNGA
130355;ELOY ALFARO
130356;RICAURTE
130357;SAN ANTONIO
130450;EL CARMEN
130451;WILFRIDO LOOR MOREIRA
130452;SAN PEDRO DE SUMA
130453;SANTA MARÍA
130454;EL PARAÍSO LA 14
130550;FLAVIO ALFARO
130551;SAN FRANCISCO DE NOVILLO
130552;ZAPALLO
130650;JIPIJAPA
130651;AMÉRICA
130652;EL ANEGADO
130653;JULCUY
130654;LA UNIÓN
130656;MEMBRILLAL
130657;PEDRO PABLO GÓMEZ
130658;PUERTO CAYO
130750;JUNÍN
130850;MANTA
130851;SAN LORENZO
130852;SANTA MARIANITA
130950;MONTECRISTI
130952;LA PILA
131050;PAJÁN
131051;CAMPOZANO
131052;CASCOL
131053;GUALE
131054;LASCANO
131150;PICHINCHA
131151;BARRAGANETE
131152;SAN SEBASTIÁN
131250;ROCAFUERTE
131350;SANTA ANA DE VUELTA LARGA
131351;AYACUCHO
131352;HONORATO VÁSQUEZ
131353;LA UNIÓN
131355;SAN PABLO
131450;BAHÍA DE CARÁQUEZ
131453;CHARAPOTÓ
131457;SAN ISIDRO
131550;TOSAGUA
131551;BACHILLERO
131552;ÁNGEL PEDRO GILER
131650;SUCRE
131651;BELLAVISTA
131652;NOBOA
131653;ARQUITECTO SIXTO DURÁN BALLÉN
131750;PEDERNALES
131751;COJIMÍES
131752;DIEZ DE AGOSTO
131753;ATAHUALPA
131850;OLMEDO
131950;PUERTO LÓPEZ
131951;MACHALILLA
131952;SALANGO
132050;JAMA
132150;JARAMIJÓ
132250;SAN VICENTE
132251;CANOA
140150;MACAS
140151;ALSHI
140153;GENERAL PROAÑO
140156;SAN ISIDRO
140157;SEVILLA DON BOSCO
140158;SINAÍ
140160;ZUÑA
140162;CUCHAENTZA
140164;RÍO BLANCO
140250;GUALAQUIZA
140251;AMAZONAS
140252;BERMEJOS
140253;BOMBOIZA
140254;CHIGÜINDA
140255;EL ROSARIO
140256;NUEVA TARQUI
140257;SAN MIGUEL DE CUYES
140258;EL IDEAL
140350;GENERAL LEONIDAS PLAZA GUTIÉRREZ
140351;INDANZA
140353;SAN ANTONIO
140356;SAN MIGUEL DE CONCHAY
140357;SANTA SUSANA DE CHIVIAZA
140358;YUNGANZA
140450;PALORA
140451;ARAPICOS
140452;CUMANDÁ
140454;SANGAY
140455;16 DE AGOSTO
140550;SANTIAGO DE MÉNDEZ
140551;COPAL
140552;CHUPIANZA
140553;PATUCA
140554;SAN LUIS DE EL ACHO
140556;TAYUZA
140557;SAN FRANCISCO DE CHINIMBIMI
140650;SUCÚA
140651;ASUNCIÓN
140652;HUAMBI
140655;SANTA MARIANITA DE JESÚS
140750;HUAMBOYA
140751;CHIGUAZA
140850;SAN JUAN BOSCO
140851;PAN DE AZÚCAR
140852;SAN CARLOS DE LIMÓN
140853;SAN JACINTO DE WAKAMBEIS
140854;SANTIAGO DE PANANZA
140950;TAISHA
140951;HUASAGA
140952;MACUMA
140953;TUUTINENTSA
140954;PUMPUENTSA
141050;LOGROÑO
141051;YAUPI
141052;SHIMPIS
141150;PABLO SEXTO
141250;SANTIAGO
141251;SAN JOSÉ DE MORONA
150150;TENA
150151;AHUANO
150153;CHONTAPUNTA
150154;PANO
150155;PUERTO MISAHUALLÍ
150156;PUERTO NAPO
150157;TÁLAG
150158;SAN JUAN DE MUYUNA
150350;ARCHIDONA
150352;COTUNDO
150354;SAN PABLO DE USHPAYACU
150356;HATUN SUMAKU
150450;EL CHACO
150451;GONZALO DÍAZ DE PINEDA
150452;LINARES
150453;OYACACHI
150454;SANTA ROSA
150455;SARDINAS
150750;BAEZA
150751;COSANGA
150752;CUYUJA
150753;PAPALLACTA
150754;SAN FRANCISCO DE BORJA
150756;SUMACO
150950;CARLOS JULIO AROSEMENA TOLA
160150;PUYO
160152;CANELOS
160154;DIEZ DE AGOSTO
160155;FÁTIMA
160156;MONTALVO
160157;POMONA
160158;RÍO CORRIENTES
160159;RÍO TIGRE
160161;SARAYACU
160162;SIMÓN BOLÍVAR
160163;TARQUI
160164;TENIENTE HUGO ORTIZ
160165;VERACRUZ
160166;EL TRIUNFO
160250;MERA
160251;MADRE TIERRA
160252;SHELL
160350;SANTA CLARA
160351;SAN JOSÉ
160450;ARAJUNO
160451;CURARAY
170150;QUITO
170151;ALANGASÍ
170152;AMAGUAÑA
170153;ATAHUALPA
170154;CALACALÍ
170155;CALDERÓN
170156;CONOCOTO
170157;CUMBAYÁ
170158;CHAVEZPAMBA
170159;CHECA
170160;EL QUINCHE
170161;GUALEA
170162;GUANGOPOLO
170163;GUAYLLABAMBA
170164;LA MERCED
170165;LLANO CHICO
170166;LLOA
170168;NANEGAL
170169;NANEGALITO
170170;NAYÓN
170171;NONO
170172;PACTO
170174;PERUCHO
170175;PIFO
170176;PÍNTAG
170177;POMASQUI
170178;PUÉLLARO
170179;PUEMBO
170180;SAN ANTONIO
170181;SAN JOSÉ DE MINAS
170183;TABABELA
170184;TUMBACO
170185;YARUQUÍ
170186;ZÁMBIZA
170250;CAYAMBE
170251;ASCÁZUBI
170252;CANGAHUA
170253;OLMEDO
170254;OTÓN
170255;SANTA ROSA DE CUZUBAMBA
170256;SAN JOSÉ DE AYORA
170350;MACHACHI
170351;ALOAG
170352;ALOASÍ
170353;CUTUGLAHUA
170354;EL CHAUPI
170355;MANUEL CORNEJO ASTORGA
170356;TAMBILLO
170357;UYUMBICHO
170450;TABACUNDO
170451;LA ESPERANZA
170452;MALCHINGUÍ
170453;TOCACHI
170454;TUPIGACHI
170550;SANGOLQUÍ
170551;COTOGCHOA
170552;RUMIPAMBA
170750;SAN MIGUEL DE LOS BANCOS
170751;MINDO
170850;PEDRO VICENTE MALDONADO
170950;PUERTO QUITO
180150;AMBATO
180151;AMBATILLO
180152;ATAHUALPA
180153;AUGUSTO N. MARTÍNEZ
180154;CONSTANTINO FERNÁNDEZ
180155;HUACHI GRANDE
180156;IZAMBA
180157;JUAN BENIGNO VELA
180158;MONTALVO
180159;PASA
180160;PICAIHUA
180161;PILAGÜÍN (PILAHUÍN)
180162;QUISAPINCHA
180163;SAN BARTOLOMÉ DE PINLLO
180164;SAN FERNANDO
180165;SANTA ROSA
180166;TOTORAS
180167;CUNCHIBAMBA
180168;UNAMUNCHO
180250;BAÑOS
180251;LLIGUA
180252;RÍO NEGRO
180253;RÍO VERDE
180254;ULBA
180350;CEVALLOS
180450;MOCHA
180451;PINGUILÍ
180550;PATATE
180551;EL TRIUNFO
180552;LOS ANDES
180553;SUCRE
180650;QUERO
180651;RUMIPAMBA
180652;YANAYACU-MOCHAPATA
180750;PELILEO
180751;BENÍTEZ
180752;BOLÍVAR
180753;COTALÓ
180754;CHIQUICHA
180755;EL ROSARIO
180756;GARCÍA MORENO
180757;GUAMBALÓ
180758;SALASACA
180850;PÍLLARO
180851;BAQUERIZO MORENO
180852;EMILIO MARÍA TERÁN
180853;MARCOS ESPINEL
180854;PRESIDENTE URBINA
180855;SAN ANDRÉS
180856;SAN JOSÉ DE POALÓ
180857;SAN MIGUELITO
180950;TISALEO
180951;QUINCHICOTO
190150;ZAMORA
190151;CUMBARATZA
190152;GUADALUPE
190153;IMBANA
190155;SABANILLA
190156;TIMBARA
190158;SAN CARLOS DE LAS MINAS
190250;ZUMBA
190251;CHITO
190252;EL CHORRO
190254;LA CHONTA
190256;PUCAPAMBA
190259;SAN ANDRÉS
190350;GUAYZIMI
190351;ZURMI
190352;NUEVO PARAÍSO
190353;NANKAIS
190450;28 DE MAYO
190451;LA PAZ
190452;TUTUPALI
190550;YANTZAZA
190551;CHICAÑA
190553;LOS ENCUENTROS
190650;EL PANGUI
190651;EL GUISME
190652;PACHICUTZA
190653;TUNDAYME
190750;ZUMBI
190752;TRIUNFO DORADO
190753;PANGUINTZA
190850;PALANDA
190851;EL PORVENIR DEL CARMEN
190852;SAN FRANCISCO DEL VERGEL
190853;VALLADOLID
190854;LA CANELA
190950;PAQUISHA
190951;BELLAVISTA
190952;NUEVO QUITO
200150;PUERTO BAQUERIZO MORENO
200151;EL PROGRESO
200152;ISLA SANTA MARÍA FLOREANA
200250;PUERTO VILLAMIL
200251;TOMÁS DE BERLANGA
200350;PUERTO AYORA
200351;BELLA VISTA
200352;SANTA ROSA
210150;NUEVA LOJA
210152;DURENO
210153;GENERAL FARFÁN
210155;EL ENO
210156;PACAYACU
210157;JAMBELÍ
210158;SANTA CECILIA
210160;10 DE AGOSTO
210250;LUMBAQUÍ
210251;EL REVENTADOR
210252;GONZALO PIZARRO
210254;PUERTO LIBRE
210350;PUERTO EL CARMEN DE PUTUMAYO
210351;PALMA ROJA
210352;PUERTO BOLÍVAR
210353;PUERTO RODRÍGUEZ
210354;SANTA ELENA
210355;SANSAHUARI
210450;SHUSHUFINDI
210451;LIMONCOCHA
210452;PAÑACOCHA
210453;SAN ROQUE
210454;SAN PEDRO DE LOS COFÁNES
210455;SIETE DE JULIO
210550;LA BONITA
210551;EL PLAYÓN DE SAN FRANCISCO
210552;LA SOFÍA
210553;ROSA FLORIDA
210554;SANTA BÁRBARA
210650;EL DORADO DE CASCALES
210651;SANTA ROSA DE SUCUMBÍOS
210652;SEVILLA
210653;NUEVA TRONCAL
210750;TARAPOA
210751;CUYABENO
210752;AGUAS NEGRAS
220150;EL COCA (PUERTO FRANCISCO DE ORELLANA)
220151;DAYUMA
220152;TARACOA
220153;ALEJANDRO LABAKA
220154;EL DORADO
220155;EL EDÉN
220156;GARCÍA MORENO
220157;INÉS ARANGO
220158;LA BELLEZA
220159;NUEVO PARAÍSO
220160;SAN JOSÉ DE GUAYUSA
220161;SAN LUIS DE ARMENIA
220250;NUEVO ROCAFUERTE
220251;CAPITÁN AUGUSTO RIVADENEYRA
220252;CONONACO
220253;SANTA MARÍA DE HUIRIRIMA
220255;YASUNÍ
220350;LA JOYA DE LOS SACHAS
220351;ENOKANQUI
220352;POMPEYA
220353;SAN CARLOS
220354;SAN SEBASTIÁN DEL COCA
220355;LAGO SAN PEDRO
220356;RUMIPAMBA
220357;TRES DE NOVIEMBRE
220358;UNIÓN MILAGREÑA
220450;LORETO
220451;ÁVILA
220452;PUERTO MURIALDO
220453;SAN JOSÉ DE PAYAMINO
220454;SAN JOSÉ DE DAHUANO
220455;SAN VICENTE DE HUATICOCHA
230150;SANTO DOMINGO DE LOS COLORADOS
230151;ALLURIQUÍN
230152;PUERTO LIMÓN
230153;LUZ DE AMÉRICA
230154;SAN JACINTO DEL BÚA
230155;VALLE HERMOSO
230156;EL ESFUERZO
230157;SANTA MARÍA DEL TOACHI
230250;LA CONCORDIA
230251;MONTERREY
230252;LA VILLEGAS
230253;PLAN PILOTO
240150;SANTA ELENA
240151;ATAHUALPA
240152;COLONCHE
240153;CHANDUY
240154;MANGLARALTO
240155;SIMÓN BOLÍVAR
240156;SAN JOSÉ DE ANCÓN
240250;LA LIBERTAD
240350;SALINAS
240351;ANCONCITO
240352;JOSÉ LUIS TAMAYO
